;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
8;USA;726861.0;17126.0;38200.0;1046.0;63955.0;624706.0;13544.0;2196.0;115.0;3661500.0;11062.0;North America
9;Spain;191726.0;887.0;20043.0;41.0;74797.0;96886.0;7371.0;4101.0;429.0;930230.0;19896.0;Europe
10;Italy;175925.0;3491.0;23227.0;482.0;44927.0;107771.0;2733.0;2910.0;384.0;1305833.0;21598.0;Europe
11;France;147969.0;;19323.0;642.0;35983.0;92663.0;5833.0;2267.0;296.0;463662.0;7103.0;Europe
12;Germany;142797.0;1400.0;4416.0;64.0;85400.0;52981.0;2922.0;1704.0;53.0;1728357.0;20629.0;Europe
13;UK;114217.0;5525.0;15464.0;888.0;N/A;98409.0;1559.0;1682.0;228.0;460437.0;6783.0;Europe
14;Turkey;82329.0;3783.0;1890.0;121.0;10453.0;69986.0;1894.0;976.0;22.0;598933.0;7101.0;Asia
15;Iran;80868.0;1374.0;5031.0;73.0;55987.0;19850.0;3513.0;963.0;60.0;330137.0;3931.0;Asia
16;Belgium;37183.0;1045.0;5453.0;290.0;8348.0;23382.0;1119.0;3208.0;471.0;145997.0;12597.0;Europe
17;Russia;36793.0;4785.0;313.0;40.0;3057.0;33423.0;8.0;252.0;2.0;1831892.0;12553.0;Europe
18;Brazil;35025.0;1343.0;2203.0;62.0;14026.0;18796.0;6634.0;165.0;10.0;62985.0;296.0;South America
19;Canada;33137.0;1210.0;1346.0;36.0;11126.0;20665.0;557.0;878.0;36.0;507701.0;13452.0;North America
20;Netherlands;31589.0;1140.0;3601.0;142.0;250.0;27738.0;1279.0;1844.0;210.0;154911.0;9041.0;Europe
21;Switzerland;27404.0;326.0;1366.0;39.0;16400.0;9638.0;386.0;3166.0;158.0;216400.0;25004.0;Europe
22;Portugal;19685.0;663.0;687.0;30.0;610.0;18388.0;228.0;1931.0;67.0;235878.0;23133.0;Europe
23;India;14792.0;440.0;488.0;2.0;2045.0;12259.0;;11.0;0.4;335123.0;243.0;Asia
