;ID;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;1.0;USA;7187179.0;1708.0;207555.0;17.0;4438906.0;1331.0;2540718.0;14156.0;21684.0;626.0;101579471.0;306463.0;North America;46.0;1597.0;3.0
1;2.0;India;5823060.0;6957.0;92347.0;30.0;4756164.0;3173.0;974549.0;8944.0;4210.0;67.0;68928440.0;49834.0;Asia;238.0;14978.0;20.0
2;3.0;Brazil;4659909.0;;139883.0;;4023789.0;;496237.0;8318.0;21886.0;657.0;17900000.0;84072.0;South America;46.0;1522.0;12.0
3;4.0;Russia;1136048.0;7212.0;20056.0;108.0;934146.0;4317.0;181846.0;2300.0;7784.0;137.0;44300000.0;303530.0;Europe;128.0;7277.0;3.0
4;5.0;Colombia;790823.0;;24924.0;;674961.0;;90938.0;863.0;15504.0;489.0;3534650.0;69295.0;South America;65.0;2047.0;14.0
5;6.0;Peru;788930.0;;31938.0;;644345.0;;112647.0;1382.0;23851.0;966.0;3778648.0;114235.0;South America;42.0;1036.0;9.0
6;7.0;Mexico;715457.0;5408.0;75439.0;490.0;514760.0;4523.0;125258.0;2622.0;5536.0;584.0;1635790.0;12656.0;North America;181.0;1713.0;79.0
7;8.0;Spain;704209.0;;31118.0;;N/A;N/A;N/A;1445.0;15060.0;665.0;11820505.0;252796.0;Europe;66.0;1503.0;4.0
8;9.0;Argentina;678266.0;;14766.0;;536589.0;;126911.0;3527.0;14975.0;326.0;1842991.0;40691.0;South America;67.0;3067.0;25.0
9;10.0;South Africa;667049.0;;16283.0;;595916.0;;54850.0;539.0;11214.0;274.0;4102162.0;68965.0;Africa;89.0;3653.0;15.0
10;11.0;France;497237.0;;31511.0;;94413.0;;371313.0;1048.0;7614.0;483.0;10035395.0;153664.0;Europe;131.0;2073.0;7.0
11;12.0;Chile;451634.0;;12469.0;;426876.0;;12289.0;890.0;23579.0;651.0;3113195.0;162531.0;South America;42.0;1536.0;6.0
12;13.0;Iran;439882.0;3563.0;25222.0;207.0;369842.0;2013.0;44818.0;4023.0;5222.0;299.0;3879640.0;46054.0;Asia;192.0;3340.0;22.0
13;14.0;UK;416363.0;;41902.0;;N/A;N/A;N/A;228.0;6126.0;616.0;22901019.0;336930.0;Europe;163.0;1622.0;3.0
14;15.0;Bangladesh;356767.0;1383.0;5093.0;21.0;267024.0;1932.0;84650.0;;2161.0;31.0;1888010.0;11438.0;Asia;463.0;32411.0;87.0
15;16.0;Iraq;337106.0;;8799.0;;268761.0;;59546.0;527.0;8339.0;218.0;2141885.0;52981.0;Asia;120.0;4595.0;19.0
16;17.0;Saudi Arabia;331857.0;;4599.0;;314793.0;;12465.0;1090.0;9498.0;132.0;6236859.0;178509.0;Asia;105.0;7597.0;6.0
17;18.0;Turkey;309790.0;;7785.0;;271964.0;;30041.0;1573.0;3664.0;92.0;9721687.0;114982.0;Asia;273.0;10861.0;9.0
18;19.0;Pakistan;309015.0;798.0;6444.0;7.0;294740.0;348.0;7831.0;544.0;1393.0;29.0;3344019.0;15072.0;Asia;718.0;34431.0;66.0
19;20.0;Italy;304323.0;;35781.0;;221762.0;;46780.0;246.0;5035.0;592.0;10787694.0;178484.0;Europe;199.0;1689.0;6.0
20;21.0;Philippines;299361.0;2630.0;5196.0;69.0;232399.0;494.0;61766.0;1758.0;2723.0;47.0;3508642.0;31921.0;Asia;367.0;21154.0;31.0
21;22.0;Germany;281755.0;410.0;9522.0;3.0;249500.0;;22733.0;296.0;3360.0;114.0;15642654.0;186562.0;Europe;298.0;8806.0;5.0
22;23.0;Indonesia;266845.0;4823.0;10218.0;113.0;196196.0;4343.0;60431.0;;973.0;37.0;3120947.0;11382.0;Asia;1028.0;26835.0;88.0
23;24.0;Israel;215273.0;3158.0;1405.0;27.0;152837.0;4024.0;61031.0;700.0;23405.0;153.0;3322537.0;361240.0;Asia;43.0;6546.0;3.0
24;25.0;Ukraine;191671.0;3565.0;3827.0;70.0;85133.0;1675.0;102711.0;177.0;4389.0;88.0;2129156.0;48755.0;Europe;228.0;11411.0;21.0
25;26.0;Canada;149094.0;;9249.0;;128707.0;;11138.0;88.0;3942.0;245.0;6901251.0;182480.0;North America;254.0;4089.0;5.0
26;27.0;Bolivia;132618.0;628.0;7765.0;34.0;92101.0;545.0;32752.0;71.0;11325.0;663.0;293581.0;25071.0;South America;88.0;1508.0;40.0
27;28.0;Ecuador;131146.0;;11213.0;;102852.0;;17081.0;361.0;7407.0;633.0;403851.0;22810.0;South America;135.0;1579.0;44.0
28;29.0;Qatar;124650.0;225.0;212.0;;121512.0;249.0;2926.0;63.0;44394.0;76.0;751104.0;267506.0;Asia;23.0;13244.0;4.0
29;30.0;Romania;119683.0;1629.0;4633.0;42.0;96158.0;1281.0;18892.0;508.0;6231.0;241.0;2328322.0;121223.0;Europe;160.0;4146.0;8.0
30;31.0;Dominican Republic;110122.0;;2076.0;;84018.0;;24028.0;213.0;10128.0;191.0;458581.0;42175.0;North America;99.0;5238.0;24.0
31;32.0;Morocco;110099.0;;1956.0;;90186.0;;17957.0;289.0;2975.0;53.0;2481151.0;67037.0;Africa;336.0;18922.0;15.0
32;33.0;Belgium;108768.0;1881.0;9965.0;6.0;19123.0;44.0;79680.0;104.0;9375.0;859.0;3027173.0;260930.0;Europe;107.0;1164.0;4.0
33;34.0;Panama;108726.0;;2297.0;;85494.0;;20935.0;128.0;25108.0;530.0;453919.0;104822.0;North America;40.0;1885.0;10.0
34;35.0;Kazakhstan;107590.0;61.0;1699.0;;102360.0;37.0;3531.0;221.0;5714.0;90.0;2733455.0;145175.0;Asia;175.0;11082.0;7.0
35;36.0;Netherlands;105918.0;2777.0;6328.0;16.0;N/A;N/A;N/A;125.0;6178.0;369.0;2240526.0;130690.0;Europe;162.0;2709.0;8.0
36;37.0;Egypt;102513.0;;5835.0;;92644.0;;4034.0;41.0;997.0;57.0;135000.0;1314.0;Africa;1003.0;17614.0;761.0
37;38.0;Kuwait;102441.0;590.0;595.0;3.0;93562.0;601.0;8284.0;111.0;23906.0;139.0;729755.0;170300.0;Asia;42.0;7202.0;6.0
38;39.0;Oman;95907.0;;885.0;;86765.0;;8257.0;185.0;18674.0;172.0;376700.0;73347.0;Asia;54.0;5803.0;14.0
39;40.0;Sweden;90923.0;;5880.0;5.0;N/A;N/A;N/A;15.0;8990.0;581.0;1532632.0;151536.0;Europe;111.0;1720.0;7.0
40;41.0;UAE;89540.0;1008.0;409.0;2.0;78819.0;882.0;10312.0;;9028.0;41.0;9222609.0;929879.0;Asia;111.0;24250.0;1.0
41;42.0;Guatemala;87933.0;;3170.0;;77125.0;;7638.0;5.0;4888.0;176.0;302958.0;16839.0;North America;205.0;5675.0;59.0
42;43.0;Poland;84396.0;1587.0;2392.0;23.0;66740.0;582.0;15264.0;96.0;2231.0;63.0;3201501.0;84613.0;Europe;448.0;15818.0;12.0
43;44.0;Japan;80041.0;;1520.0;;72538.0;;5983.0;166.0;633.0;12.0;1888156.0;14940.0;Asia;1579.0;83148.0;67.0
44;45.0;Belarus;76957.0;306.0;807.0;5.0;73925.0;192.0;2225.0;;8145.0;85.0;1792426.0;189703.0;Europe;123.0;11708.0;5.0
45;46.0;Honduras;73193.0;518.0;2249.0;27.0;24580.0;558.0;46364.0;20.0;7363.0;226.0;172323.0;17335.0;North America;136.0;4420.0;58.0
46;47.0;Ethiopia;71687.0;;1148.0;;29461.0;;41078.0;267.0;620.0;10.0;1234645.0;10680.0;Africa;1613.0;100702.0;94.0
47;48.0;Portugal;71156.0;;1931.0;;46676.0;;22549.0;85.0;6983.0;190.0;2458397.0;241265.0;Europe;143.0;5277.0;4.0
48;49.0;Nepal;70614.0;1313.0;459.0;6.0;51866.0;1455.0;18289.0;;2414.0;16.0;968185.0;33093.0;Asia;414.0;63740.0;30.0
49;50.0;Venezuela;70406.0;;581.0;;59745.0;;10080.0;146.0;2478.0;20.0;1920335.0;67578.0;South America;404.0;48910.0;15.0
50;51.0;Costa Rica;69459.0;;795.0;;26554.0;;42110.0;253.0;13606.0;156.0;213404.0;41803.0;North America;73.0;6421.0;24.0
51;52.0;Bahrain;67701.0;;234.0;3.0;60853.0;;6614.0;56.0;39484.0;136.0;1378104.0;803732.0;Asia;25.0;7327.0;1.0
52;53.0;Czechia;58374.0;;567.0;;27382.0;;30425.0;131.0;5449.0;53.0;1263111.0;117897.0;Europe;184.0;18895.0;8.0
53;54.0;Nigeria;57849.0;;1102.0;;49098.0;;7649.0;7.0;279.0;5.0;494577.0;2386.0;Africa;3583.0;188106.0;419.0
54;55.0;Singapore;57665.0;11.0;27.0;;57333.0;;305.0;;9839.0;5.0;2692047.0;459309.0;Asia;102.0;217077.0;2.0
55;56.0;Uzbekistan;53966.0;132.0;447.0;1.0;50441.0;211.0;3078.0;283.0;1607.0;13.0;1377915.0;41033.0;Asia;622.0;75125.0;24.0
56;57.0;Switzerland;51864.0;372.0;2063.0;2.0;42600.0;;7201.0;35.0;5982.0;238.0;1326290.0;152985.0;Europe;167.0;4202.0;7.0
57;58.0;Algeria;50579.0;;1703.0;;35544.0;;13332.0;31.0;1149.0;39.0;;;Africa;871.0;25856.0;
58;59.0;Moldova;48953.0;;1252.0;;36643.0;;11058.0;592.0;12142.0;311.0;256481.0;63616.0;Europe;82.0;3220.0;16.0
59;60.0;Armenia;48643.0;392.0;947.0;2.0;43401.0;135.0;4295.0;;16408.0;319.0;272235.0;91830.0;Asia;61.0;3130.0;11.0
60;61.0;Ghana;46222.0;;299.0;;45417.0;;506.0;6.0;1481.0;10.0;475657.0;15235.0;Africa;675.0;104416.0;66.0
61;62.0;Kyrgyzstan;45932.0;175.0;1063.0;;42147.0;142.0;2722.0;24.0;7014.0;162.0;267718.0;40880.0;Asia;143.0;6161.0;24.0
62;63.0;Austria;41500.0;684.0;786.0;3.0;32301.0;640.0;8413.0;78.0;4602.0;87.0;1528191.0;169452.0;Europe;217.0;11474.0;6.0
63;64.0;Azerbaijan;39787.0;101.0;583.0;2.0;37392.0;137.0;1812.0;;3916.0;57.0;1087578.0;107040.0;Asia;255.0;17428.0;9.0
64;65.0;Afghanistan;39186.0;16.0;1451.0;;32619.0;;5116.0;93.0;1002.0;37.0;109765.0;2805.0;Asia;998.0;26966.0;356.0
65;66.0;Palestine;37963.0;372.0;278.0;4.0;27183.0;249.0;10502.0;;7403.0;54.0;402695.0;78525.0;Asia;135.0;18447.0;13.0
66;67.0;Kenya;37489.0;;669.0;;24334.0;;12486.0;44.0;694.0;12.0;506632.0;9375.0;Africa;1441.0;80777.0;107.0
67;68.0;Paraguay;36404.0;;743.0;;20502.0;;15159.0;157.0;5089.0;104.0;261563.0;36568.0;South America;196.0;9627.0;27.0
68;69.0;Ireland;33994.0;;1797.0;;23364.0;;8833.0;16.0;6867.0;363.0;1106992.0;223609.0;Europe;146.0;2755.0;4.0
69;70.0;Serbia;33163.0;;745.0;;31536.0;;882.0;22.0;3799.0;85.0;1099022.0;125905.0;Europe;263.0;11717.0;8.0
70;71.0;Lebanon;32819.0;;329.0;;14112.0;;18378.0;139.0;4813.0;48.0;768181.0;112667.0;Asia;208.0;20724.0;9.0
71;72.0;Libya;30632.0;;474.0;;16842.0;;13316.0;;4444.0;69.0;195018.0;28293.0;Africa;225.0;14542.0;35.0
72;73.0;El Salvador;28415.0;214.0;823.0;;22643.0;317.0;4949.0;89.0;4376.0;127.0;378273.0;58251.0;North America;229.0;7891.0;17.0
73;74.0;Australia;27000.0;17.0;869.0;8.0;24523.0;75.0;1608.0;10.0;1056.0;34.0;7479815.0;292541.0;Australia/Oceania;947.0;29423.0;3.0
74;75.0;Bosnia and Herzegovina;26564.0;248.0;808.0;6.0;19507.0;365.0;6249.0;;8109.0;247.0;232973.0;71117.0;Europe;123.0;4054.0;14.0
75;76.0;Denmark;25594.0;678.0;647.0;2.0;19010.0;364.0;5937.0;25.0;4415.0;112.0;3608262.0;622436.0;Europe;226.0;8960.0;2.0
76;77.0;S. Korea;23455.0;114.0;395.0;2.0;20978.0;146.0;2082.0;128.0;457.0;8.0;2280276.0;44467.0;Asia;2186.0;129822.0;22.0
77;78.0;Hungary;22127.0;927.0;718.0;9.0;4945.0;127.0;16464.0;30.0;2292.0;74.0;668553.0;69248.0;Europe;436.0;13446.0;14.0
78;79.0;Cameroon;20712.0;;418.0;;19440.0;;854.0;30.0;776.0;16.0;149000.0;5582.0;Africa;1289.0;63863.0;179.0
79;80.0;Bulgaria;19573.0;;785.0;;14013.0;;4775.0;30.0;2822.0;113.0;507451.0;73163.0;Europe;354.0;8836.0;14.0
80;81.0;Ivory Coast;19501.0;;120.0;;19003.0;;378.0;;735.0;5.0;156390.0;5896.0;Africa;1360.0;221047.0;170.0
81;82.0;North Macedonia;17200.0;;712.0;;14312.0;;2176.0;3.0;8256.0;342.0;181034.0;86895.0;Europe;121.0;2926.0;12.0
82;83.0;Greece;16627.0;;366.0;;9989.0;;6272.0;68.0;1597.0;35.0;1246363.0;119717.0;Europe;626.0;28445.0;8.0
83;84.0;Madagascar;16221.0;30.0;228.0;1.0;14867.0;34.0;1126.0;11.0;582.0;8.0;69025.0;2478.0;Africa;1717.0;122155.0;403.0
84;85.0;Croatia;15795.0;223.0;266.0;5.0;14303.0;192.0;1226.0;22.0;3853.0;65.0;284449.0;69391.0;Europe;260.0;15411.0;14.0
85;86.0;Senegal;14839.0;23.0;304.0;;11910.0;92.0;2625.0;18.0;881.0;18.0;171603.0;10188.0;Africa;1135.0;55405.0;98.0
86;87.0;Zambia;14491.0;;332.0;;13643.0;;516.0;;783.0;18.0;146329.0;7910.0;Africa;1277.0;55721.0;126.0
87;88.0;Sudan;13592.0;;836.0;;6764.0;;5992.0;;308.0;19.0;;;Africa;3243.0;52728.0;
88;89.0;Norway;13406.0;;270.0;;10371.0;;2765.0;2.0;2468.0;50.0;999528.0;184037.0;Europe;405.0;20115.0;5.0
89;90.0;Tunisia;13305.0;;180.0;;5032.0;;8093.0;74.0;1123.0;15.0;212620.0;17947.0;Africa;890.0;65819.0;56.0
90;91.0;Albania;12921.0;;370.0;;7239.0;;5312.0;18.0;4491.0;129.0;78704.0;27356.0;Europe;223.0;7776.0;37.0
91;92.0;Namibia;10740.0;;119.0;;8482.0;;2139.0;15.0;4209.0;47.0;92943.0;36428.0;Africa;238.0;21441.0;27.0
92;93.0;Malaysia;10687.0;111.0;133.0;;9696.0;30.0;858.0;4.0;329.0;4.0;1451697.0;44720.0;Asia;3038.0;244074.0;22.0
93;94.0;DRC;10578.0;23.0;271.0;;10070.0;19.0;237.0;;117.0;3.0;;;Africa;8524.0;332725.0;
94;95.0;Guinea;10434.0;;65.0;;9801.0;;568.0;24.0;790.0;5.0;32458.0;2457.0;Africa;1266.0;203273.0;407.0
95;96.0;Maldives;9939.0;;34.0;;8597.0;;1308.0;12.0;18313.0;63.0;144928.0;267038.0;Asia;55.0;15962.0;4.0
96;97.0;French Guiana;9790.0;;65.0;;9456.0;;269.0;6.0;32587.0;216.0;64305.0;214047.0;South America;31.0;4622.0;5.0
97;98.0;Montenegro;9717.0;;154.0;;5917.0;;3646.0;;15471.0;245.0;65049.0;103567.0;Europe;65.0;4078.0;10.0
98;99.0;Tajikistan;9520.0;;74.0;;8296.0;;1150.0;;993.0;8.0;;;Asia;1007.0;129543.0;
99;100.0;Finland;9484.0;105.0;343.0;;7850.0;;1291.0;2.0;1711.0;62.0;950576.0;171499.0;Europe;584.0;16160.0;6.0
100;101.0;Gabon;8716.0;;54.0;;7906.0;;756.0;2.0;3895.0;24.0;157828.0;70534.0;Africa;257.0;41437.0;14.0
101;102.0;Haiti;8668.0;;227.0;;6551.0;;1890.0;;758.0;20.0;27117.0;2371.0;North America;1319.0;50373.0;422.0
102;103.0;Myanmar;8515.0;171.0;155.0;5.0;2381.0;;5979.0;;156.0;3.0;224383.0;4117.0;Asia;6400.0;351582.0;243.0
103;104.0;Luxembourg;8158.0;;124.0;;6910.0;;1124.0;3.0;12984.0;197.0;800045.0;1273314.0;Europe;77.0;5067.0;1.0
104;105.0;Slovakia;8048.0;419.0;41.0;;4036.0;58.0;3971.0;24.0;1474.0;8.0;433848.0;79455.0;Europe;678.0;133177.0;13.0
105;106.0;Zimbabwe;7752.0;;227.0;;6043.0;;1482.0;;520.0;15.0;158493.0;10628.0;Africa;1924.0;65695.0;94.0
106;107.0;Mauritania;7433.0;;161.0;;7052.0;;220.0;3.0;1589.0;34.0;78262.0;16733.0;Africa;629.0;29051.0;60.0
107;108.0;Mozambique;7399.0;;51.0;;4558.0;;2790.0;;235.0;2.0;130060.0;4135.0;Africa;4251.0;616699.0;242.0
108;109.0;Uganda;7218.0;154.0;71.0;1.0;3611.0;385.0;3536.0;;157.0;2.0;465600.0;10108.0;Africa;6382.0;648763.0;99.0
109;110.0;Jordan;6591.0;;36.0;;3937.0;;2618.0;13.0;644.0;4.0;1127961.0;110296.0;Asia;1552.0;284075.0;9.0
110;111.0;Malawi;5747.0;;179.0;;4163.0;;1405.0;4.0;299.0;9.0;51773.0;2691.0;Africa;3348.0;107493.0;372.0
111;112.0;Jamaica;5588.0;;77.0;;1490.0;;4021.0;7.0;1885.0;26.0;74765.0;25223.0;North America;530.0;38496.0;40.0
112;113.0;Cabo Verde;5479.0;;55.0;;4917.0;;507.0;;9830.0;99.0;76576.0;137383.0;Africa;102.0;10134.0;7.0
113;114.0;Djibouti;5407.0;;61.0;;5339.0;;7.0;;5454.0;62.0;75534.0;76196.0;Africa;183.0;16251.0;13.0
114;115.0;Eswatini;5375.0;;108.0;;4724.0;;543.0;11.0;4622.0;93.0;31969.0;27489.0;Africa;216.0;10768.0;36.0
115;116.0;Cuba;5310.0;;118.0;;4613.0;;579.0;8.0;469.0;10.0;569371.0;50276.0;North America;2133.0;95974.0;20.0
116;117.0;Nicaragua;5073.0;;149.0;;2913.0;;2011.0;;764.0;22.0;;;North America;1309.0;44583.0;
117;118.0;Hong Kong;5059.0;2.0;104.0;;4765.0;7.0;190.0;12.0;674.0;14.0;3311279.0;440847.0;Asia;1485.0;72223.0;2.0
118;119.0;Equatorial Guinea;5018.0;;83.0;;4530.0;;405.0;4.0;3551.0;59.0;58976.0;41732.0;Africa;282.0;17027.0;24.0
119;120.0;Slovenia;5007.0;192.0;145.0;;3353.0;108.0;1509.0;25.0;2408.0;70.0;214124.0;102993.0;Europe;415.0;14338.0;10.0
120;121.0;Congo;5005.0;;89.0;;3887.0;;1029.0;;902.0;16.0;;;Africa;1109.0;62345.0;
121;122.0;CAR;4804.0;;62.0;;1837.0;;2905.0;2.0;991.0;13.0;31976.0;6594.0;Africa;1009.0;78210.0;152.0
122;123.0;Suriname;4789.0;;102.0;;4578.0;;109.0;5.0;8147.0;174.0;13294.0;22614.0;South America;123.0;5763.0;44.0
123;124.0;Rwanda;4789.0;;27.0;;3050.0;;1712.0;;368.0;2.0;483441.0;37117.0;Africa;2720.0;482395.0;27.0
124;125.0;Georgia;4664.0;265.0;27.0;1.0;1759.0;54.0;2878.0;;1170.0;7.0;571486.0;143325.0;Asia;855.0;147680.0;7.0
125;126.0;Guadeloupe;4487.0;;42.0;;2199.0;;2246.0;24.0;11214.0;105.0;47049.0;117581.0;North America;89.0;9527.0;9.0
126;127.0;Angola;4475.0;;162.0;;1503.0;;2810.0;8.0;135.0;5.0;65951.0;1993.0;Africa;7395.0;204283.0;502.0
127;128.0;Trinidad and Tobago;4235.0;;67.0;;2047.0;;2121.0;11.0;3024.0;48.0;30055.0;21459.0;North America;331.0;20904.0;47.0
128;129.0;Lithuania;4184.0;114.0;89.0;;2298.0;45.0;1797.0;;1542.0;33.0;750202.0;276514.0;Europe;648.0;30484.0;4.0
129;130.0;Syria;3966.0;;183.0;;1013.0;;2770.0;;225.0;10.0;;;Asia;4437.0;96157.0;
130;131.0;Aruba;3756.0;;25.0;;2664.0;;1067.0;11.0;35145.0;234.0;29865.0;279444.0;North America;28.0;4275.0;4.0
131;132.0;Bahamas;3699.0;81.0;86.0;6.0;1962.0;47.0;1651.0;79.0;9386.0;218.0;18604.0;47204.0;North America;107.0;4583.0;21.0
132;133.0;Gambia;3552.0;;110.0;;2012.0;;1430.0;;1461.0;45.0;14956.0;6150.0;Africa;685.0;22108.0;163.0
