;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;USA;15152536.0;166868.0;288886.0;1055.0;8853645.0;64422.0;6010005.0;26448.0;45662.0;871.0;207429963.0;625083.0;North America;22.0;1149.0;2.0
1;India;9676801.0;32272.0;140590.0;374.0;9138171.0;38225.0;398040.0;8944.0;6983.0;101.0;146986575.0;106061.0;Asia;143.0;9857.0;9.0
2;Brazil;6603540.0;26363.0;176962.0;321.0;5776182.0;14819.0;650396.0;8318.0;30971.0;830.0;25700000.0;120536.0;South America;32.0;1205.0;8.0
3;Russia;2460770.0;29039.0;43141.0;457.0;1937738.0;21342.0;479891.0;2300.0;16859.0;296.0;79323100.0;543451.0;Europe;59.0;3383.0;2.0
4;France;2292497.0;11022.0;55155.0;174.0;169586.0;228.0;2067756.0;3220.0;35088.0;844.0;21041852.0;322054.0;Europe;29.0;1185.0;3.0
5;Italy;1728878.0;18887.0;60078.0;564.0;913494.0;17186.0;755306.0;3454.0;28613.0;994.0;23125664.0;382729.0;Europe;35.0;1006.0;3.0
6;UK;1723242.0;17272.0;61245.0;231.0;N/A;N/A;N/A;1274.0;25327.0;900.0;44812139.0;658608.0;Europe;39.0;1111.0;2.0
7;Spain;1699145.0;;46252.0;;N/A;N/A;N/A;2371.0;36336.0;989.0;22992742.0;491690.0;Europe;28.0;1011.0;2.0
8;Argentina;1463110.0;3278.0;39770.0;138.0;1294692.0;5907.0;128648.0;3735.0;32245.0;876.0;4101188.0;90384.0;South America;31.0;1141.0;11.0
9;Colombia;1371103.0;8854.0;37808.0;175.0;1257410.0;7708.0;75885.0;2376.0;26823.0;740.0;6737972.0;131815.0;South America;37.0;1352.0;8.0
10;Germany;1184845.0;14750.0;19159.0;184.0;846400.0;10700.0;319286.0;4108.0;14122.0;228.0;29141172.0;347331.0;Europe;71.0;4379.0;3.0
11;Mexico;1168395.0;11625.0;109456.0;593.0;859463.0;6744.0;199476.0;3363.0;9021.0;845.0;3005228.0;23203.0;North America;111.0;1183.0;43.0
12;Poland;1063449.0;9176.0;20089.0;228.0;706720.0;18810.0;336640.0;1900.0;28112.0;531.0;6456364.0;170674.0;Europe;36.0;1883.0;6.0
13;Iran;1040547.0;11561.0;50310.0;294.0;730798.0;11090.0;259439.0;5809.0;12321.0;596.0;6387019.0;75625.0;Asia;81.0;1679.0;13.0
14;Peru;973912.0;1224.0;36274.0;43.0;907654.0;1958.0;29984.0;987.0;29362.0;1094.0;5167466.0;155790.0;South America;34.0;914.0;6.0
15;Turkey;828295.0;30402.0;14900.0;195.0;431253.0;4011.0;382142.0;5805.0;9776.0;176.0;19691845.0;232405.0;Asia;102.0;5687.0;4.0
16;South Africa;814565.0;4116.0;22206.0;139.0;744780.0;482.0;47579.0;546.0;13660.0;372.0;5592663.0;93788.0;Africa;73.0;2685.0;11.0
17;Ukraine;813306.0;11590.0;13588.0;167.0;418581.0;6048.0;381137.0;177.0;18646.0;312.0;4702234.0;107803.0;Europe;54.0;3210.0;9.0
18;Belgium;589942.0;2503.0;17254.0;112.0;39185.0;327.0;533503.0;753.0;50807.0;1486.0;6082316.0;523818.0;Europe;20.0;673.0;2.0
19;Indonesia;575796.0;6089.0;17740.0;151.0;474771.0;4322.0;83285.0;;2096.0;65.0;6032542.0;21955.0;Asia;477.0;15489.0;46.0
20;Iraq;564200.0;1680.0;12432.0;21.0;493567.0;1910.0;58201.0;235.0;13894.0;306.0;3671654.0;90418.0;Asia;72.0;3266.0;11.0
21;Chile;560382.0;1714.0;15628.0;36.0;534789.0;3246.0;9965.0;658.0;29206.0;815.0;5537774.0;288619.0;South America;34.0;1228.0;3.0
22;Netherlands;557224.0;6779.0;9687.0;25.0;N/A;N/A;N/A;495.0;32489.0;565.0;5077285.0;296028.0;Europe;31.0;1771.0;3.0
23;Czechia;546259.0;542.0;8865.0;35.0;476710.0;38.0;60684.0;576.0;50968.0;827.0;3190257.0;297665.0;Europe;20.0;1209.0;3.0
24;Romania;513576.0;5231.0;12320.0;134.0;405612.0;6405.0;95644.0;1289.0;26775.0;642.0;4255481.0;221854.0;Europe;37.0;1557.0;5.0
25;Bangladesh;477545.0;1666.0;6838.0;31.0;395960.0;2552.0;74747.0;;2887.0;41.0;2863169.0;17311.0;Asia;346.0;24188.0;58.0
26;Philippines;439834.0;1768.0;8554.0;29.0;408634.0;9062.0;22646.0;1401.0;3991.0;78.0;5979315.0;54254.0;Asia;251.0;12884.0;18.0
27;Pakistan;416499.0;3308.0;8361.0;58.0;355012.0;2483.0;53126.0;2436.0;1870.0;38.0;5754986.0;25839.0;Asia;535.0;26639.0;39.0
28;Canada;415182.0;6261.0;12665.0;76.0;329138.0;4256.0;73379.0;530.0;10959.0;334.0;11977563.0;316154.0;North America;91.0;2991.0;3.0
29;Morocco;379657.0;2919.0;6245.0;61.0;331301.0;3608.0;42111.0;940.0;10234.0;168.0;4074451.0;109826.0;Africa;98.0;5941.0;9.0
